iter	Passed	Remaining
793	40002	10378
794	40015	10318
795	40066	10268
796	40122	10219
797	40175	10169
798	40178	10107
799	40204	10051
800	40257	10001
801	40313	9952
802	40365	9902
803	40428	9855
804	40479	9805
805	40545	9758
806	40597	9709
807	40650	9659
808	40703	9609
809	40759	9560
810	40813	9511
811	40866	9461
812	40921	9412
813	40972	9362
814	41024	9312
815	41078	9262
816	41132	9213
817	41187	9163
818	41239	9113
819	41291	9064
820	41348	9015
821	41400	8965
822	41451	8914
823	41503	8864
824	41557	8815
825	41619	8767
826	41626	8707
827	41677	8657
828	41684	8598
829	41737	8548
830	41789	8498
831	41845	8449
832	41897	8399
833	41950	8349
834	42004	8300
835	42063	8251
836	42124	8203
837	42190	8156
838	42248	8107
839	42301	8057
840	42355	8007
841	42407	7957
842	42460	7907
843	42512	7857
844	42564	7807
845	42592	7753
846	42646	7703
847	42697	7653
848	42751	7603
849	42810	7554
850	42863	7504
851	42919	7455
852	42972	7405
853	43023	7355
854	43077	7305
855	43137	7256
856	43201	7208
857	43258	7159
858	43316	7110
859	43374	7060
860	43431	7011
861	43487	6961
862	43541	6912
863	43595	6862
864	43646	6811
865	43697	6761
866	43748	6711
867	43800	6660
868	43855	6611
869	43908	6561
870	43960	6510
871	44012	6460
872	44065	6410
873	44115	6359
874	44169	6309
875	44222	6259
876	44273	6209
877	44286	6153
878	44312	6099
879	44363	6049
880	44417	5999
881	44431	5944
882	44484	5894
883	44488	5837
884	44543	5788
885	44598	5738
886	44653	5688
887	44705	5638
888	44763	5589
889	44814	5538
890	44867	5488
891	44923	5439
892	44975	5388
893	45033	5339
894	45087	5289
895	45143	5239
896	45199	5190
897	45252	5139
898	45304	5089
899	45356	5039
900	45408	4989
901	45458	4938
902	45511	4888
903	45567	4839
904	45623	4789
905	45674	4738
906	45727	4688
907	45780	4638
908	45840	4589
909	45892	4538
910	45942	4488
911	45995	4438
912	46052	4388
913	46105	4338
914	46160	4288
915	46213	4237
916	46263	4187
917	46315	4137
918	46369	4086
919	46422	4036
920	46476	3986
921	46531	3936
922	46582	3886
923	46636	3835
924	46690	3785
925	46741	3735
926	46801	3685
927	46854	3635
928	46906	3584
929	46964	3534
930	47020	3484
931	47075	3434
932	47125	3384
933	47185	3334
934	47237	3283
935	47291	3233
936	47342	3183
937	47354	3130
938	47409	3079
939	47464	3029
940	47518	2979
941	47577	2929
942	47627	2878
943	47653	2826
944	47659	2773
945	47715	2723
946	47766	2673
947	47817	2622
948	47870	2572
949	47935	2522
950	47991	2472
951	48046	2422
952	48098	2372
953	48152	2321
954	48204	2271
955	48256	2221
956	48308	2170
957	48360	2120
958	48412	2069
959	48468	2019
960	48525	1969
961	48581	1919
962	48634	1868
963	48691	1818
964	48742	1767
965	48794	1717
966	48847	1666
967	48900	1616
968	48956	1566
969	49010	1515
970	49065	1465
971	49121	1415
972	49180	1364
973	49206	1313
974	49265	1263
975	49318	1212
976	49331	1161
977	49337	1109
978	49387	1059
979	49438	1008
980	49489	958
981	49544	908
982	49601	857
983	49653	807
984	49708	756
985	49761	706
986	49774	655
987	49826	605
988	49890	554
989	49942	504
990	49996	454
991	50022	403
992	50050	352
993	50103	302
994	50158	252
995	50210	201
996	50236	151
997	50286	100
998	50338	50
999	50390	0
